No;Provinsi;Kab/Kota;Kecamatan;Kelurahan
1485;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;SERUA
1486;BANTEN;KOTA TANGERANG SELATAN;CIPUTAT;SERUA INDAH
1495;BANTEN;KOTA TANGERANG SELATAN;PAMULANG;BAMBUAPUS
1503;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;JURANGMANGU BARAT
1504;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;JURANGMANGU TIMUR
1505;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PARIGI
1506;BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;PARIGI BARU
1520;BANTEN;KOTA TANGERANG SELATAN;SERPONG;RAWABUNTU
1521;BANTEN;KOTA TANGERANG SELATAN;SERPONG;RAWA MEKARJAYA
1525;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;PAKUALAM
1526;BANTEN;KOTA TANGERANG SELATAN;SERPONG UTARA;PAKUJAYA
1533;BANTEN;KOTA TANGERANG SELATAN;SETU;KERANGGAN
